Order,TRACKING,CHSVIA,State,Ship Date
73597561,1Z1W1R130323079955,UMOC,LA,20230814
73597717,92419902712015573020146026,MBPM,NE,20230814
73597473,1Z1W1R130323079964,UMOC,MN,20230814
73597569,1Z1W1R130323079973,UMOC,NC,20230814
73597634,9205590295388102952402,UPM,TX,20230814
73597657,92419902712015573020146033,MBPM,CA,20230814
73597499,92419902712015573020146040,MBPM,AZ,20230814
73597645,92419902712015573020146057,MBPM,CO,20230814
73597630,1Z1W1R130323079982,UMOC,FL,20230814
73597630,1Z1W1R130323079991,UMOC,FL,20230814
73597699,92419902712015573020146064,MBPM,IL,20230814
73597462,92419902712015573020146071,MBPM,FL,20230814
73597610,92748902712015573020146089,MPSL,CA,20230814
73597627,92419902712015573020146095,MBPM,GA,20230814
73597637,1Z1W1R130323083002,UMOC,IN,20230814
73597665,92419902712015573020146118,MBPM,CA,20230814
73597545,1Z1W1R130323080005,UMOC,IL,20230814
73597718,92419902712015573020146125,MBPM,DE,20230814
73597686,1Z1W1R130323080014,UMOR,AZ,20230814
73597613,92419902712015573020146132,MBPM,AZ,20230814
73597574,92748902712015573020146140,MPSL,GA,20230814
73597568,92419902712015573020146156,MBPM,WA,20230814
73597594,1Z1W1R130323080023,UMOC,IA,20230814
ACR54720,92419902712015573020146163,MBPM,MI,20230814
ACR54705,1Z1W1R130323080032,UMOC,MI,20230814
ACR54707,92419902712015573020146170,MBPM,GA,20230814
ACR54708,1Z1W1R130323080041,UMOC,CA,20230814
73593572,1Z1W1R130323080050,UMOC,NY,20230814
ACR54678,92419902712015573020146187,MBPM,VA,20230814
ACR54694,92419902712015573020146194,MBPM,AZ,20230814
ACR54676,92419902712015573020146200,MBPM,NC,20230814
73597745,1Z1W1R130323080069,UMOC,MD,20230814
ACR54681,92419902712015573020146217,MBPM,TX,20230814
ACR54687,92419902712015573020146224,MBPM,MI,20230814
73594957,1Z1W1R130323080078,UMOC,FL,20230814
ACR54683,92419902712015573020146231,MBPM,OK,20230814
ACR54686,92419902712015573020146248,MBPM,CA,20230814
ACR54697,92419902712015573020146255,MBPM,LA,20230814
ACR54699,92419902712015573020146262,MBPM,IA,20230814
ACR54685,92419902712015573020146279,MBPM,GA,20230814
ACR54719,92419902712015573020146286,MBPM,CA,20230814
ACR54714,92419902712015573020146293,MBPM,KY,20230814
ACR54677,92419902712015573020146309,MBPM,TX,20230814
ACR54672,92419902712015573020146316,MBPM,CA,20230814
ACR54693,92419902712015573020146323,MBPM,CO,20230814
ACR54704,1Z1W1R130323080087,UMOC,CA,20230814
ACR54709,92419902712015573020146330,MBPM,CA,20230814
73596006,92419902712015573020146347,MBPM,MI,20230814
ACR54702,92419902712015573020146354,MBPM,OK,20230814
73597815,92419902712015573020146361,MBPM,MO,20230814
ACR54690,92419902712015573020146378,MBPM,MI,20230814
ACR54713,92419902712015573020146385,MBPM,CA,20230814
ACR54696,92419902712015573020146392,MBPM,AZ,20230814
ACR54712,92419902712015573020146408,MBPM,SD,20230814
ACR54711,92419902712015573020146415,MBPM,CA,20230814
ACR54675,92419902712015573020146422,MBPM,IA,20230814
ACR54692,92419902712015573020146439,MBPM,AZ,20230814
ACR54715,92419902712015573020146446,MBPM,CA,20230814
ACR54688,92419902712015573020146453,MBPM,AZ,20230814
ACR54679,92419902712015573020146460,MBPM,MS,20230814
ACR54695,92419902712015573020146477,MBPM,OR,20230814
ACR54673,92419902712015573020146484,MBPM,IN,20230814
ACR54722,92419902712015573020146491,MBPM,IL,20230814
ACR54674,92419902712015573020146507,MBPM,ID,20230814
ACR54703,92419902712015573020146514,MBPM,IL,20230814
73597840,92419902712015573020146521,MBPM,MO,20230814
ACR54716,92419902712015573020146538,MBPM,SC,20230814
ACR54718,92419902712015573020146545,MBPM,IL,20230814
ACR54706,92419902712015573020146552,MBPM,FL,20230814
ACR54700,92419902712015573020146569,MBPM,MO,20230814
73597925,1Z1W1R130323080096,UMOC,AZ,20230814
ACR54717,92419902712015573020146576,MBPM,CA,20230814
ACR54721,92419902712015573020146583,MBPM,FL,20230814
73597723,92419902712015573020146590,MBPM,AZ,20230814
73597751,1Z1W1R130323080103,UMOC,CA,20230814
73597751,1Z1W1R130323080112,UMOC,CA,20230814
73597751,1Z1W1R130323080121,UMOC,CA,20230814
73597798,1Z1W1R130323080130,UMOC,CA,20230814
73597798,1Z1W1R130323080149,UMOC,CA,20230814
73597884,1Z1W1R130323080158,UMOC,MI,20230814
73597908,92419902712015573020146606,MBPM,CA,20230814
73597757,92419902712015573020146613,MBPM,MS,20230814
73597861,1Z1W1R130323080167,UMOC,MA,20230814
73597861,1Z1W1R130323080176,UMOC,MA,20230814
73598002,1Z1W1R130323080185,UMOC,WI,20230814
73597727,1Z1W1R130323080194,UMOC,NE,20230814
73597707,1Z1W1R130323080201,UMOC,CA,20230814
73597707,1Z1W1R130323080210,UMOC,CA,20230814
73597772,92419902712015573020146620,MBPM,KY,20230814
73597719,1Z1W1R130323080238,UMOC,IN,0
73597797,92419902712015573020146637,MBPM,KY,20230814
73597805,1Z1W1R130323080247,UMOC,CT,20230814
73597776,92419902712015573020146644,MBPM,LA,20230814
73597780,1Z1W1R130323080256,UMOR,GA,20230814
73597737,92419902712015573020146651,MBPM,SC,20230814
73597762,92419902712015573020146668,MBPM,TX,20230814
73597880,1Z1W1R130323080265,UMOC,UT,20230814
73597880,1Z1W1R130323080274,UMOC,UT,20230814
73597880,1Z1W1R130323080283,UMOC,UT,20230814
73597880,1Z1W1R130323080292,UMOC,UT,20230814
73597880,1Z1W1R130323080309,UMOC,UT,20230814
73597748,1Z1W1R130323080318,UMOC,CA,20230814
73597980,1Z1W1R130323080327,UMOC,ND,20230814
73597767,1Z1W1R130323080336,UMOC,MS,20230814
73597767,1Z1W1R130323080345,UMOC,MS,20230814
73597858,1Z1W1R130323080354,UMOC,MN,20230814
73597858,1Z1W1R130323080363,UMOC,MN,20230814
73597867,92419902712015573020146675,MBPM,AZ,20230814
73597812,92419902712015573020146682,MBPM,IN,20230814
73597853,92419902712015573020146699,MBPM,SC,20230814
73597935,1Z1W1R130323080372,UMOC,CT,20230814
73597909,1Z1W1R130323080381,UMOC,CA,20230814
73597985,92419902712015573020146705,MBPM,MS,20230814
73597820,1Z1W1R130323080390,UMOC,AL,20230814
73597929,1Z1W1R130323080407,UMOC,UT,20230814
73597830,92419902712015573020146712,MBPM,AZ,20230814
73597835,92419902712015573020146729,MBPM,IL,20230814
73597860,92419902712015573020146736,MBPM,WA,20230814
73597756,92419902712015573020146743,MBPM,AZ,20230814
73597916,92419902712015573020146750,MBPM,CA,20230814
73597728,92419902712015573020146767,MBPM,GA,20230814
73597883,92419902712015573020146774,MBPM,TX,20230814
73597831,1Z1W1R130323080416,UMOC,WI,20230814
73597787,92419902712015573020146781,MBPM,IN,20230814
73597833,92419902712015573020146798,MBPM,AZ,20230814
73597994,92419902712015573020146804,MBPM,AZ,20230814
73597899,1Z1W1R130323080425,UMOR,FL,20230814
73597939,92419902712015573020146811,MBPM,NE,20230814
73597832,1Z1W1R130323080434,UMOC,AZ,20230814
73597924,92419902712015573020146828,MBPM,MI,20230814
73597889,92419902712015573020146835,MBPM,TN,20230814
73597854,92419902712015573020146842,MBPM,NE,20230814
73597747,92419902712015573020146859,MBPM,CA,20230814
73597918,92419902712015573020146866,MBPM,CA,20230814
73597999,1Z1W1R130323080443,UMOC,NY,20230814
73598000,1Z1W1R130323080452,UMOC,ND,20230814
73597783,1Z1W1R130323080461,UMOC,NJ,20230814
73597731,92419902712015573020146873,MBPM,CA,20230814
73597741,92419902712015573020146880,MBPM,FL,20230814
73597819,92419902712015573020146897,MBPM,CA,20230814
73597724,92419902712015573020146903,MBPM,UT,20230814
73597875,1Z1W1R130323080470,UMOC,WA,20230814
73597992,92419902712015573020146910,MBPM,FL,20230814
73597995,1Z1W1R130323080489,UMOC,IL,20230814
73597869,1Z1W1R130323080498,UMOC,AR,20230814
73597869,1Z1W1R130323080505,UMOC,AR,20230814
73597759,1Z1W1R130323080514,UMOR,MD,20230814
73597759,1Z1W1R130323080523,UMOR,MD,20230814
73597736,92419902712015573020146927,MBPM,MS,20230814
73597907,9205590295388102952419,UPM,AE,20230815
73597907,9205590295388102952426,UPM,AE,20230815
73597802,1Z1W1R130323080532,UMOC,AZ,20230814
73597750,92419902712015573020146941,MBPM,IL,20230814
73597792,92419902712015573020146958,MBPM,FL,20230814
73597770,92419902712015573020146965,MBPM,IL,20230814
73597778,92419902712015573020146972,MBPM,CA,20230814
73597765,92419902712015573020146989,MBPM,CA,20230814
73597768,92419902712015573020146996,MBPM,CO,20230814
73597808,92419902712015573020147009,MBPM,IN,20230814
73597887,92419902712015573020147016,MBPM,UT,20230814
73597791,92419902712015573020147023,MBPM,SC,20230814
73597911,1Z1W1R130323080541,UMOC,MI,20230814
73597744,92419902712015573020147030,MBPM,OH,20230814
73597725,92419902712015573020147047,MBPM,CA,20230814
73597781,92419902712015573020147054,MBPM,MI,20230814
73597857,1Z1W1R130323080550,UMOC,NY,20230814
73597855,92419902712015573020147061,MBPM,MI,20230814
73597794,1Z1W1R130323080569,UMOC,MD,20230814
73597843,1Z1W1R130323080578,UMOC,IL,20230814
73597896,1Z1W1R130323080587,UMOC,MI,20230814
73597900,1Z1W1R130323080596,UMOC,IN,20230814
73597914,1Z1W1R130323080603,UMOC,CO,20230814
73597827,92419902712015573020147078,MBPM,CO,20230814
73597786,92419902712015573020147085,MBPM,IN,20230814
73597837,92419902712015573020147092,MBPM,FL,20230814
73597904,1Z1W1R130323080612,UMOC,NY,20230814
73597753,92419902712015573020147108,MBPM,VA,20230814
73597755,92419902712015573020147115,MBPM,MO,20230814
73597752,1Z1W1R130323080621,UMOC,SC,20230814
73597878,92419902712015573020147122,MBPM,AZ,20230814
73597807,92419902712015573020147139,MBPM,IL,20230814
73597868,92419902712015573020147146,MBPM,KS,20230814
73597735,92419902712015573020147153,MBPM,AZ,20230814
73598554,92419902712015573020147160,MBPM,MA,20230814
73598641,1Z1W1R130323080630,UMOC,MA,20230814
ACR54757,1Z1W1R130323080649,UMOC,IN,20230814
73598512,1Z1W1R130323080658,UMOC,AZ,20230814
73598551,92419902712015573020147177,MBPM,AL,20230814
73598252,1Z1W1R130323080667,UMOC,MN,20230814
73598252,1Z1W1R130323080676,UMOC,MN,20230814
73598252,1Z1W1R130323080685,UMOC,MN,20230814
73598252,1Z1W1R130323080694,UMOC,MN,20230814
73598272,1Z1W1R130323080701,UMOC,TN,20230814
73598274,92419902712015573020147184,MBPM,FL,20230814
73598338,1Z1W1R130323080710,UMOC,AZ,20230814
73598645,1Z1W1R130323080729,UMOC,ID,20230814
73598651,1Z1W1R130323080738,UMOC,GA,20230814
73598304,92419902712015573020147191,MBPM,IL,20230814
73598326,1Z1W1R130323080747,UMOC,MA,20230814
73598455,92419902712015573020147207,MBPM,AZ,20230814
73598747,9205590295388102952433,UCPC,AE,20230815
73598636,1Z1W1R130323080756,UMOC,GA,20230814
ACR54802,1Z1W1R130323080765,UMOC,AZ,20230814
73598666,1Z1W1R130323080774,UMOC,NC,20230814
73598776,1Z1W1R130323080783,UMOC,VA,20230814
73598724,1Z1W1R130323080792,UMOC,AZ,20230814
73598523,1Z1W1R130323080809,UMOC,FL,20230814
73598533,92419902712015573020147214,MBPM,WA,20230814
73598246,1Z1W1R130323080818,UMOC,IL,20230814
73598248,1Z1W1R130323080827,UMOC,IA,20230814
73598718,92419902712015573020147221,MBPM,CA,20230814
73598172,92419902712015573020147238,MBPM,GA,20230814
73598440,92419902712015573020147245,MBPM,WI,20230814
ACR54776,92419902712015573020147252,MBPM,WA,20230814
73598585,1Z1W1R130323080836,UMOC,TX,20230814
73598490,92419902712015573020147269,MBPM,VA,20230814
73598497,92419902712015573020147276,MBPM,TN,20230814
73598730,1Z1W1R130323080845,UMOC,IL,20230814
73598537,92419902712015573020147283,MBPM,MA,20230814
73598259,92419902712015573020147290,MBPM,IN,20230814
73598295,92419902712015573020147306,MBPM,CA,20230814
73598266,92419902712015573020147313,MBPM,IN,20230814
73598318,1Z1W1R130323080854,UMOC,CA,20230814
ACR54769,92419902712015573020147320,MBPM,AZ,20230814
73598427,92419902712015573020147337,MBPM,IL,20230814
73598346,1Z1W1R130323080863,UMOC,CA,20230814
73598346,1Z1W1R130323080872,UMOC,CA,20230814
ACR54754,92419902712015573020147344,MBPM,OH,20230814
73598260,92419902712015573020147351,MBPM,IL,20230814
73598263,92419902712015573020147368,MBPM,GA,20230814
73598309,92419902712015573020147375,MBPM,CA,20230814
73598411,92419902712015573020147382,MBPM,GA,20230814
73598324,1Z1W1R130323080890,UMOC,AL,20230814
73598436,92419902712015573020147399,MBPM,NE,20230814
73598435,1Z1W1R130323080907,UMOC,MI,20230814
73598435,1Z1W1R130323080916,UMOC,MI,20230814
73598473,1Z1W1R130323080925,UMOC,CA,20230814
73598482,1Z1W1R130323080934,UMOC,OH,20230814
73598270,92419902712015573020147405,MBPM,FL,20230814
ACR54768,92419902712015573020147412,MBPM,IN,20230814
73598292,92419902712015573020147429,MBPM,FL,20230814
73598325,92419902712015573020147436,MBPM,IN,20230814
73598345,1Z1W1R130323080943,UMOC,CA,20230814
73598511,1Z1W1R130323080952,UMOC,CT,20230814
73598601,1Z1W1R130323080961,UMOC,NV,20230814
73598601,1Z1W1R130323080970,UMOC,NV,20230814
73598553,92419902712015573020147443,MBPM,TX,20230814
73598697,92419902712015573020147450,MBPM,MI,20230814
73598785,92419902712015573020147467,MBPM,ME,20230814
73598323,1Z1W1R130323080989,UMOC,MO,20230814
73598582,92419902712015573020147474,MBPM,GA,20230814
73598580,92419902712015573020147481,MBPM,CA,20230814
73598615,92419902712015573020147498,MBPM,GA,20230814
73598627,92419902712015573020147504,MBPM,GA,20230814
73598340,92419902712015573020147511,MBPM,MO,20230814
73598275,92419902712015573020147528,MBPM,MI,20230814
73598342,1Z1W1R130323080998,UMOC,WV,20230814
73598681,92419902712015573020147535,MBPM,NV,20230814
ACR54759,92419902712015573020147542,MBPM,KY,20230814
73598657,1Z1W1R130323081004,UMOC,GA,20230814
73598161,1Z1W1R130323081013,UMOC,TN,20230814
ACR54764,92419902712015573020147559,MBPM,CA,20230814
73598302,92419902712015573020147566,MBPM,FL,20230814
73598360,92419902712015573020147573,MBPM,MN,20230814
73598607,1Z1W1R130323081022,UMOC,NJ,20230814
73598611,92419902712015573020147580,MBPM,FL,20230814
73598788,1Z1W1R130323081031,UMOR,GA,20230814
73598788,1Z1W1R130323081040,UMOR,GA,20230814
ACR54756,92419902712015573020147597,MBPM,FL,20230814
73598358,92419902712015573020147603,MBPM,OK,20230814
73598471,92419902712015573020147610,MBPM,CA,20230814
73598257,92419902712015573020147627,MBPM,CA,20230814
73598174,92419902712015573020147634,MBPM,MS,20230814
73598723,92419902712015573020147641,MBPM,GA,20230814
ACR54806,92419902712015573020147658,MBPM,KS,20230814
73598508,92419902712015573020147665,MBPM,GA,20230814
73598464,92419902712015573020147672,MBPM,NM,20230814
73598635,92419902712015573020147689,MBPM,KY,20230814
73598713,92419902712015573020147696,MBPM,CT,20230814
73598328,1Z1W1R130323081068,UMOC,GA,20230814
73598458,92419902712015573020147702,MBPM,IA,20230814
73598467,92419902712015573020147719,MBPM,IA,20230814
ACR54765,92419902712015573020147726,MBPM,CA,20230814
73598581,92419902712015573020147733,MBPM,TN,20230814
73598591,1Z1W1R130323081077,UMOC,MO,20230814
73598531,92419902712015573020147740,MBPM,SD,20230814
ACR54794,92419902712015573020147757,MBPM,PA,20230814
73598637,92419902712015573020147764,MBPM,TN,20230814
ACR54787,92419902712015573020147771,MBPM,CA,20230814
73598692,92419902712015573020147788,MBPM,CA,20230814
73598258,92419902712015573020147795,MBPM,FL,20230814
73598432,1Z1W1R130323081086,UMOC,FL,20230814
ACR54781,92419902712015573020147801,MBPM,LA,20230814
73598393,1Z1W1R130323081095,UMOC,FL,20230814
73598623,92419902712015573020147818,MBPM,NV,20230814
ACR54795,92419902712015573020147825,MBPM,IN,20230814
73598682,1Z1W1R130323081102,UMOC,PA,20230814
73598642,1Z1W1R130323081111,UMOC,KY,20230814
73598254,92419902712015573020147832,MBPM,MD,20230814
73598306,92419902712015573020147849,MBPM,MI,20230814
ACR54809,92419902712015573020147856,MBPM,TX,20230814
73598746,1Z1W1R130323081120,UMOC,TX,20230814
73598418,92419902712015573020147863,MBPM,VA,20230814
73598344,92419902712015573020147870,MBPM,NY,20230814
73598491,92419902712015573020147887,MBPM,IN,20230814
73598678,1Z1W1R130323081139,UMOC,CA,20230814
73598689,1Z1W1R130323081148,UMOC,SC,20230814
73598583,1Z1W1R130323081157,UMOC,WV,20230814
73598699,1Z1W1R130323081166,UMOC,CA,20230814
73598699,1Z1W1R130323081175,UMOC,CA,20230814
ACR54814,1Z1W1R130323081184,UMOC,TX,20230814
ACR54772,92419902712015573020147894,MBPM,MI,20230814
73598336,1Z1W1R130323081193,UMOC,IA,20230814
73598336,1Z1W1R130323081200,UMOC,IA,20230814
73598336,1Z1W1R130323081219,UMOC,IA,20230814
73598336,1Z1W1R130323081228,UMOC,IA,20230814
ACR54777,92419902712015573020147900,MBPM,CO,20230814
73598659,1Z1W1R130323081237,UMOC,CA,20230814
ACR54808,92419902712015573020147917,MBPM,NC,20230814
73598377,1Z1W1R130323081246,UMOC,NY,20230814
73598448,92419902712015573020147924,MBPM,KS,20230814
73598563,92419902712015573020147931,MBPM,WI,20230814
73598529,92419902712015573020147948,MBPM,FL,20230814
73598378,1Z1W1R130323081255,UMOC,GA,20230814
73598404,92419902712015573020147955,MBPM,MO,20230814
73598310,92419902712015573020147962,MBPM,FL,20230814
ACR54766,92419902712015573020147979,MBPM,CA,20230814
73598487,1Z1W1R130323081264,UMOC,CA,20230814
ACR54780,92419902712015573020147986,MBPM,LA,20230814
ACR54758,92419902712015573020147993,MBPM,FL,20230814
73598744,92419902712015573020148006,MBPM,CA,20230814
ACR54751,92419902712015573020148013,MBPM,GA,20230814
73598593,92419902712015573020148020,MBPM,NY,20230814
73598643,1Z1W1R130323081273,UMOC,WA,20230814
73598680,9205590295388102952440,UCPC,AK,20230815
73598796,1Z1W1R130323081282,UMOC,CA,20230814
ACR54818,92419902712015573020148037,MBPM,TX,20230814
ACR54821,92419902712015573020148044,MBPM,FL,20230814
73598171,92419902712015573020148051,MBPM,WI,20230814
ACR54761,92419902712015573020148068,MBPM,TX,20230814
73598703,1Z1W1R130323081291,UMOC,CA,20230814
73598445,1Z1W1R130323081308,UMOC,MN,20230814
73598668,92419902712015573020148075,MBPM,MN,20230814
ACR54822,92419902712015573020148082,MBPM,CA,20230814
ACR54807,92419902712015573020148099,MBPM,OH,20230814
73598671,1Z1W1R130323081317,UMOC,MI,20230814
73598671,1Z1W1R130323081326,UMOC,MI,20230814
73598522,1Z1W1R130323081335,UMOC,AL,20230814
ACR54793,92419902712015573020148105,MBPM,NV,20230814
73598462,92419902712015573020148112,MBPM,PA,20230814
73598616,92419902712015573020148129,MBPM,IN,20230814
ACR54789,92419902712015573020148136,MBPM,PA,20230814
73598558,92419902712015573020148143,MBPM,IN,20230814
ACR54801,92419902712015573020148150,MBPM,OK,20230814
ACR54788,92419902712015573020148167,MBPM,PA,20230814
ACR54790,92419902712015573020148174,MBPM,NY,20230814
ACR54791,92419902712015573020148181,MBPM,CA,20230814
73598795,1Z1W1R130323081344,UMOC,NV,20230814
73598288,92419902712015573020148198,MBPM,IN,20230814
73598570,92419902712015573020148204,MBPM,TX,20230814
ACR54810,92419902712015573020148211,MBPM,OK,20230814
73598379,92419902712015573020148228,MBPM,CA,20230814
73598594,92419902712015573020148235,MBPM,CA,20230814
ACR54805,92419902712015573020148242,MBPM,GA,20230814
73598444,92419902712015573020148259,MBPM,IN,20230814
73598475,92419902712015573020148266,MBPM,CA,20230814
73598721,1Z1W1R130323081353,UMOC,AZ,20230814
73598644,1Z1W1R130323081362,UMOC,IN,20230814
ACR54813,1Z1W1R130323081371,UMOC,AZ,20230814
ACR54749,92419902712015573020148273,MBPM,IN,20230814
73598574,92419902712015573020148280,MBPM,MI,20230814
ACR54803,92419902712015573020148297,MBPM,IN,20230814
73598676,92419902712015573020148303,MBPM,FL,20230814
73598452,1Z1W1R130323081380,UMOC,OH,20230814
ACR54785,1Z1W1R130323081399,UMOC,OH,20230814
73598513,1Z1W1R130323081406,UMOC,WA,20230814
ACR54798,92419902712015573020148310,MBPM,TX,20230814
ACR54783,92419902712015573020148327,MBPM,TN,20230814
73598602,1Z1W1R130323081415,UMOC,NJ,20230814
73598559,92419902712015573020148334,MBPM,NY,20230814
ACR54779,92419902712015573020148341,MBPM,CA,20230814
73598590,92419902712015573020148358,MBPM,IN,20230814
73598543,1Z1W1R130323081424,UMOC,CA,20230814
73598561,92419902712015573020148365,MBPM,KS,20230814
73598446,92419902712015573020148372,MBPM,MN,20230814
73598704,92419902712015573020148389,MBPM,GA,20230814
73598706,92419902712015573020148396,MBPM,DE,20230814
ACR54770,92419902712015573020148402,MBPM,CA,20230814
ACR54771,92419902712015573020148419,MBPM,GA,20230814
ACR54774,92419902712015573020148426,MBPM,AL,20230814
73598613,9205590295388102952457,UPM,CA,20230815
ACR54762,92419902712015573020148433,MBPM,NY,20230814
73598595,1Z1W1R130323081433,UMOC,CA,20230814
73598459,1Z1W1R130323081442,UMOC,LA,20230814
73598557,92419902712015573020148457,MBPM,MO,20230814
